feature,coef
primary_Close,1.0005303740053297
tnx_chg,-0.06228607577972678
gbpusd_ret,0.06223150878904673
primary_ret_1w,-0.0
primary_Volume,-0.0
primary_vol_chg,-0.0
primary_ATR14,0.0
bac_ret_1w,-0.0
ratio_yield_gold,-0.0
c_ret_1w,-0.0
wfc_ret_1w,-0.0
ftse_ret_1w,-0.0
gspc_ret_1w,-0.0
gold_ret_1w,-0.0
eurusd_ret,-0.0
