feature,importance
primary_ATR14,0.101127855
eurusd_ret,0.098514155
gspc_ret_1w,0.09409289
ratio_yield_gold,0.09008915
tnx_chg,0.089081734
c_ret_1w,0.08482871
primary_Volume,0.08345166
primary_Close,0.07837476
gbpusd_ret,0.077536754
gold_ret_1w,0.073027596
bac_ret_1w,0.059939485
primary_ret_1w,0.04717163
primary_vol_chg,0.022763645
ftse_ret_1w,0.0
wfc_ret_1w,0.0
