feature,vif
primary_ATR14,8.90635475157634
primary_Close,6.504891512546424
bac_ret_1w,4.482157924346599
primary_ret_1w,4.043943740103762
c_ret_1w,3.6640597887550497
wfc_ret_1w,3.199594228947763
primary_Volume,3.1195690964144043
ftse_ret_1w,1.8214255205959544
ratio_yield_gold,1.7709914323367784
gbpusd_ret,1.6809686539227575
eurusd_ret,1.6393869050932282
primary_vol_chg,1.0925253523183067
gspc_ret_1w,1.086824363991419
gold_ret_1w,1.0485954220985336
tnx_chg,1.0450305938745426
