feature,coef
primary_Close,0.9986221356600963
gbpusd_ret,0.2714371534791121
eurusd_ret,-0.1979344815173583
tnx_chg,-0.15705639685699516
ratio_yield_gold,-0.06979682727022662
primary_Volume,-0.05316549340725743
primary_ATR14,0.02275940085229575
wfc_ret_1w,0.007892122072043154
gspc_ret_1w,-0.006095318529431117
ftse_ret_1w,-0.006023248515557723
bac_ret_1w,-0.004644407686322592
primary_ret_1w,-0.004359177249826033
gold_ret_1w,-0.00431565414681252
c_ret_1w,0.003054948854482691
primary_vol_chg,-0.0012546666066808182
