,primary_ATR14,primary_vol_chg,primary_ret_1w,primary_Close,primary_Volume,ratio_yield_gold,bac_ret_1w,c_ret_1w,wfc_ret_1w,gspc_ret_1w,ftse_ret_1w,gold_ret_1w,tnx_chg,eurusd_ret,gbpusd_ret
2005-03-11,-1.1172419478515296,-0.10930871492120743,-0.0476091507053841,36.11000061035156,-0.6221194392065674,2.9136272787006554,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,1.612309802207587,1.9829592297435483,0.11770090337985142
2005-03-12,-1.1289313560493097,0.02795713376855779,-0.14470035907105,36.0099983215332,-0.5981068486649713,2.919636823919224,-0.5325559696994102,-0.5183473356194868,-0.2427534752137721,-0.07612943410050688,-0.8068739250838284,-0.9681894499130784,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-03-18,-1.1397858065186768,-0.10930871492120743,-0.0476091507053841,36.0099983215332,-0.5981068486649713,2.919636823919224,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.3239685294989046,-1.3505805187414233,-0.3943274564026128
2005-03-19,-1.139797238715538,-0.4999257885587649,-1.0990801976678974,34.93000030517578,-0.6689449722928592,2.919636823919224,-0.7679066508155028,-1.3119928371187295,-0.5413399809389693,-0.07612943410050688,-0.041733280555277155,-2.0182224137470994,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-03-25,-1.140154957043238,-0.10930871492120743,-0.0476091507053841,34.93000030517578,-0.6689449722928592,2.919636823919224,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.5760675742501489,-3.1739215740516253,-2.988257762250711
2005-03-26,-1.1356268914447663,0.7301592871383034,-0.7301175180431683,34.25,-0.5325929809651456,2.919636823919224,0.14643489682314995,0.060195221237062294,0.5257564117058274,-0.07612943410050688,-0.14456259659389176,0.11249762323699498,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-04-01,-1.1314222591033283,-0.10930871492120743,-0.0476091507053841,34.25,-0.5325929809651456,2.919636823919224,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.8906976771355019,-0.5256453496396151,0.6486114477848347
2005-04-02,-1.1108542462000737,-0.7716103675354447,0.2082947434582838,34.5,-0.6642914286539733,2.919636823919224,0.4081676359342997,0.4623728377290574,0.04227658942396539,-0.07612943410050688,0.9013244095855003,0.08428241661033879,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-04-08,-1.091755377075623,-0.10930871492120743,-0.0476091507053841,34.5,-0.6642914286539733,2.919636823919224,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.2562565991221577,0.15212200491312977,0.22280763841447507
2005-04-09,-1.0892957486038506,0.08672043119165511,-0.6268417418976652,33.93000030517578,-0.6322073882714128,2.919636823919224,-0.27362741607780855,0.20441325172288935,-0.2488259638205214,-0.07612943410050688,-1.2458461230589069,-0.3312779566129953,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-04-15,-1.0870118078800615,-0.10930871492120743,-0.0476091507053841,33.93000030517578,-0.6322073882714128,2.8451813179559595,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-1.4925444193595774,0.1519397739692942,0.6498952765725067
2005-04-16,-1.0626727238549367,1.367423581104029,0.9236627339986259,34.869998931884766,-0.37785474820129933,2.7577141345280034,0.0361614525416027,0.329801666099277,-0.2661521703207487,-0.07612943410050688,-0.5994963452671079,1.252739791283891,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-04-22,-1.0497926110657076,-0.10930871492120743,-0.0476091507053841,34.869998931884766,-0.37785474820129933,2.7484548715263135,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.0729704092939067,1.2886547908578525,1.3348419184960354
2005-04-23,-1.0652582560221024,-1.2994466150292279,0.5757511512173122,35.4900016784668,-0.6637068729027562,2.7421073764065897,0.4046842629627094,0.3656476687262106,0.6444375013588048,-0.07612943410050688,-0.6762895684431927,0.04078468286339151,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-04-29,-1.0803135499171057,-0.10930871492120743,-0.0476091507053841,35.4900016784668,-0.6637068729027562,2.6958855625145692,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.34644506175056555,-1.3464128294547066,-0.159937814318687
2005-04-30,-1.0870031167511758,-0.43120798217793127,0.07093191365666654,35.61000061035156,-0.7164423082574152,2.7771755851480293,0.260600672228106,-0.20709847618911464,-0.11834285571698906,-0.07612943410050688,1.5733914296630762,-1.2633803239747805,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-05-06,-1.0932148573828124,-0.10930871492120743,-0.0476091507053841,35.61000061035156,-0.7164423082574152,2.843237740175088,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.4791793645562753,-0.7931555185672589,-1.1855721912633752
2005-05-07,-1.0705157119854012,0.13900704836269745,-1.1798110976298046,34.459999084472656,-0.6792597638880276,2.899952221868717,-0.24433397008844396,-0.3844004129134747,-0.2895030190352677,-0.07612943410050688,-0.4640359882911411,-0.8726163061993937,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-05-13,-1.0494379341163766,-0.10930871492120743,-0.0476091507053841,34.459999084472656,-0.6792597638880276,2.7468328428383493,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-1.0929516155324914,-1.7222788704019971,-2.324530757073895
2005-05-14,-1.031601490253885,-0.11607745517060936,1.5801974463427437,36.060001373291016,-0.6803405376743261,2.7732822428977357,0.8786678655804158,1.0876677751369224,1.0609272010258397,-0.07612943410050688,1.1164218222423197,-0.448189401719861,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-05-20,-1.016427753823988,-0.10930871492120743,-0.0476091507053841,36.060001373291016,-0.6803405376743261,2.7829164016600934,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.06584873412321482,-0.8573203898615356,-1.7253651910651306
2005-05-21,-1.04989887373203,-1.719341410671307,-0.3003926020839993,35.79999923706055,-0.9369517877458767,2.7601690120517013,0.027288341901373424,-0.2862844568894951,-0.2978808431195288,-0.07612943410050688,0.16065690499211194,0.28529366665557454,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-05-27,-1.0809791993609261,-0.10930871492120743,-0.0476091507053841,35.79999923706055,-0.9369517877458767,2.7122736103659233,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.3571989667697614,0.1466978870055138,-0.10633454063204283
2005-05-28,-1.0730403895235934,1.4297788107624128,-0.2924334122107347,35.54999923706055,-0.7971480819543539,2.6762992709513305,-0.547090298619039,0.1572375194555119,0.25965117568820095,-0.07612943410050688,0.1416444608002165,0.49448472091413004,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-06-03,-1.0656686375317845,-0.10930871492120743,-0.0476091507053841,35.54999923706055,-0.7971480819543539,2.5813901915850326,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.7182333481721748,-3.2109596047356113,-0.6598642060253944
2005-06-04,-1.084860645646202,-0.8045078344073388,-0.16595015389704534,35.43000030517578,-0.886259025753213,2.548689578433065,0.11436494685081731,0.04530314181968309,-0.04558923604514447,-0.07612943410050688,0.3765485348044615,0.46153452293842956,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-06-10,-1.1026817960381616,-0.10930871492120743,-0.0476091507053841,35.43000030517578,-0.886259025753213,2.6145507975772526,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.5071481236765634,-0.9643557184238104,0.06798146362455504
2005-06-11,-1.1126338636234923,1.0964056562730768,0.5955829202661699,36.08000183105469,-0.7604104979329075,2.519787198866136,0.371201232182858,-0.09884367504228203,0.11590938155274975,-0.07612943410050688,0.5857320293063905,1.4524684010926103,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-06-17,-1.121875069238442,-0.10930871492120743,-0.0476091507053841,36.08000183105469,-0.7604104979329075,2.5564862444568495,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.2826847304716558,1.1095363205406643,0.8744627974682035
2005-06-18,-1.1269846318491188,-0.19180194645201717,-0.5431767524668071,35.56999969482422,-0.7717940668344054,2.5377450501044323,0.045354345137963936,-0.28277916590105245,-0.46253359810788125,-0.07612943410050688,-0.012931394614364893,0.24213316168958762,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-06-24,-1.1317292257018894,-0.10930871492120743,-0.0476091507053841,35.56999969482422,-0.7717940668344054,2.3825530801922885,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-1.214670088303467,-1.466887734181029,-0.26752948998090703
2005-06-25,-1.1340519064015526,-0.44791277964636494,-0.5502784336272194,35.060001373291016,-0.8174897496254345,2.488788603619176,-1.0888670387401933,-0.4432964085581843,0.25488431139766204,-0.07612943410050688,1.0302236878677706,-1.7580145326211871,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-07-01,-1.1362086813369543,-0.10930871492120743,-0.0476091507053841,35.060001373291016,-0.8174897496254345,2.6203878811482046,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,1.0347699544458393,-1.2794781091439682,-3.1792257122107705
2005-07-02,-1.1420301929564827,-0.39714312387452966,-0.2976008230326584,34.810001373291016,-0.852820473723243,2.6646069265807832,0.08542762475236969,0.20106249306975837,-0.02541462844759741,-0.07612943410050688,0.8758069151411655,-0.7312445046238286,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-07-08,-1.1474358823174735,-0.10930871492120743,-0.0476091507053841,34.810001373291016,-0.852820473723243,2.7121512380804687,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.35367123743026985,-0.22293913373442875,-2.2156174798751644
2005-07-09,-1.1448178669365103,1.0010499960873025,1.0098957896971936,35.86000061035156,-0.7270068447537564,2.732588227578693,0.4972614136961114,-0.0501840450831869,0.7826811251452602,-0.07612943410050688,-0.04739068804184377,-0.36183792717662017,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-07-15,-1.142386852654187,-0.10930871492120743,-0.0476091507053841,35.86000061035156,-0.7270068447537564,2.7994983389251793,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.4909550612979141,1.0280763757442097,1.1411326300204374
2005-07-16,-1.146378390594354,-0.09919093544741528,-0.30180244263820155,35.599998474121094,-0.7255203718266879,2.7618671697113575,-0.7142181098604344,-1.1364865394547534,-0.5766858169891448,-0.07612943410050688,0.1059200143570744,0.5073520804394709,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-07-22,-1.1552922864464383,-0.10930871492120743,-0.0476091507053841,35.599998474121094,-0.7255203718266879,2.809209972784384,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.34338014626407704,0.41864373030195307,-0.7640159586954206
2005-07-23,-1.173637043402376,-1.122534875157047,-0.5006156676746686,35.13999938964844,-0.8747827567792273,2.7607638855870045,-0.8071328339876015,-0.5458559549516308,-0.23087963809885645,-0.07612943410050688,0.47683377555832046,0.6690127442336701,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-07-29,-1.1906714605757467,-0.10930871492120743,-0.0476091507053841,35.13999938964844,-0.8747827567792273,2.8075340398751907,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.3392645207582863,0.49570928445425044,1.183256006366272
2005-07-30,-1.2089192499738304,0.4662934403570635,0.0621373817432233,35.25,-0.8129387213608291,2.7406863580308936,-0.24753893116196515,0.07979089004364637,-0.5147646905878251,-0.07612943410050688,0.3733853184273012,0.9489032737962254,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-08-05,-1.2183414159687764,-0.10930871492120743,-0.0476091507053841,35.25,-0.8129387213608291,2.851060494252142,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.8113106114800851,1.9400167488844908,1.010215955637058
2005-08-06,-1.2183414159687764,-0.3610384929826107,-0.9825100115398695,34.310001373291016,-0.8441437469383879,2.772098225059955,-0.38630154121500493,-0.00515019811833234,-0.12793298226681776,-0.07612943410050688,0.35235986069145003,1.1213563786153775,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-08-12,-1.2143274166016995,-0.10930871492120743,-0.0476091507053841,34.310001373291016,-0.8441437469383879,2.627804065341643,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-1.063274801605023,0.9762303375367593,2.5660337753463875
2005-08-13,-1.2183414159687764,-0.06934542360168408,0.1874102411245972,34.540000915527344,-0.8395229209721448,2.703894979290478,0.5931962060745234,0.3277052107042145,0.211161930323876,-0.07612943410050688,-0.43929414131310907,-1.207323795305935,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-08-19,-1.2183414159687764,-0.10930871492120743,-0.0476091507053841,34.540000915527344,-0.8395229209721448,2.6763014452351657,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.21075466063280096,-2.6749444291796713,-1.3310153580111532
2005-08-20,-1.2183414159687764,0.3139695139861443,-0.9509774075120867,33.650001525878906,-0.7900581622926719,2.6745310116972227,-0.5254349649926913,-0.6327662996305253,-0.9645353490700139,-0.07612943410050688,-1.0766006084865045,-0.02742665128679008,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-08-26,-1.2176682650887976,-0.10930871492120743,-0.0476091507053841,33.650001525878906,-0.7900581622926719,2.665337372317435,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.07394193382267228,1.7322310369083018,0.852244507505723
2005-08-27,-1.2131582375424512,-0.21937848021186965,0.43164881605787736,34.11000061035156,-0.8043754158411356,2.606226377157275,0.024922192260774943,0.4786475692503899,0.2377682770204926,-0.07612943410050688,1.2111863068429707,0.8641543479906566,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-09-02,-1.2089703548208435,-0.10930871492120743,-0.0476091507053841,34.11000061035156,-0.8043754158411356,2.4523270956002157,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-1.1829830609592753,2.0632863290379997,2.125843458556435
2005-09-03,-1.2148020718134522,-0.7629890905844172,0.6821398742894965,34.81999969482422,-0.8869024733151869,2.413325128726552,0.005131581220572178,0.4400764957397096,0.2512059925788322,-0.07612943410050688,0.36876388207788746,0.5840455113950408,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-09-09,-1.2183414159687764,-0.10930871492120743,-0.0476091507053841,34.81999969482422,-0.8869024733151869,2.511842446977474,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.7897096220208799,-0.9875782819559409,-0.0067903296027093645
2005-09-10,-1.2183414159687764,2.3232719668002875,0.12355889327804329,34.9900016784668,-0.633415760981018,2.4271150194501696,0.4581574501242354,0.4979826591754611,0.05218156376404037,-0.07612943410050688,0.5650503907977437,1.3273361557021446,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-09-16,-1.2183414159687764,-0.10930871492120743,-0.0476091507053841,34.9900016784668,-0.633415760981018,2.5321325900775253,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.8389086147701229,-2.0827863881110895,-2.2365645346168095
2005-09-17,-1.217836222681671,-0.6154836941738249,-0.9694209488577891,34.06999969482422,-0.7204360454980059,2.4999589222693603,-0.9573107477493906,-0.1210757114877889,-0.5414233974478836,-0.07612943410050688,0.03823295888504136,0.4599133791425482,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-09-23,-1.2115782872885386,-0.10930871492120743,-0.0476091507053841,34.06999969482422,-0.7204360454980059,2.491282983092217,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,-0.0731304295703565,-1.3244537068166795,-1.5405241548201667
2005-09-24,-1.215487812514731,-0.2836302784843458,-0.1916718256631086,33.93000030517578,-0.7463528045874096,2.448042028238119,-0.10797084469745111,0.1642872689159936,-0.23531908096411105,-0.07612943410050688,0.7472797062376508,0.6466976747769293,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-09-30,-1.2183414159687764,-0.10930871492120743,-0.0476091507053841,33.93000030517578,-0.7463528045874096,2.525209790023732,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.6116031106975884,-0.18141535047899462,-0.5744935801514186
2005-10-01,-1.2179759242180586,1.057586449489475,-0.07860597355022711,33.900001525878906,-0.5809464293638533,2.480527063384777,0.09271895103936521,-0.06289447232495557,-0.02541462844759741,-0.07612943410050688,-1.4159041511899277,0.6636741865067822,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-10-07,-1.2169153454771355,-0.10930871492120743,-0.0476091507053841,33.900001525878906,-0.5809464293638533,2.4889983035473997,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.06226737208573335,0.5653740893782663,-0.6095642543161934
2005-10-08,-1.206904394990528,-0.5516954938364139,0.13854425475583193,34.08000183105469,-0.6632008395658818,2.5321940443014146,-0.16793307843707475,-0.21419814474798232,0.19120590103972976,-0.07612943410050688,-1.1012319294700343,-0.7390635130603699,-0.004801771525306656,0.0050616332191265765,0.01168542483604493
2005-10-14,-1.1976085123958216,-0.10930871492120743,-0.0476091507053841,34.08000183105469,-0.6632008395658818,2.643611073610462,-0.021157344592000582,0.0008989132247867916,-0.02541462844759741,-0.07612943410050688,-0.031054509762638793,-0.05445436553794302,0.8650927302068797,-0.4058576984016796,0.514000444572804
