,target_next_primary_close
2005-03-11,36.0099983215332
2005-03-12,36.0099983215332
2005-03-18,34.93000030517578
2005-03-19,34.93000030517578
2005-03-25,34.25
2005-03-26,34.25
2005-04-01,34.5
2005-04-02,34.5
2005-04-08,33.93000030517578
2005-04-09,33.93000030517578
2005-04-15,34.869998931884766
2005-04-16,34.869998931884766
2005-04-22,35.4900016784668
2005-04-23,35.4900016784668
2005-04-29,35.61000061035156
2005-04-30,35.61000061035156
2005-05-06,34.459999084472656
2005-05-07,34.459999084472656
2005-05-13,36.060001373291016
2005-05-14,36.060001373291016
2005-05-20,35.79999923706055
2005-05-21,35.79999923706055
2005-05-27,35.54999923706055
2005-05-28,35.54999923706055
2005-06-03,35.43000030517578
2005-06-04,35.43000030517578
2005-06-10,36.08000183105469
2005-06-11,36.08000183105469
2005-06-17,35.56999969482422
2005-06-18,35.56999969482422
2005-06-24,35.060001373291016
2005-06-25,35.060001373291016
2005-07-01,34.810001373291016
2005-07-02,34.810001373291016
2005-07-08,35.86000061035156
2005-07-09,35.86000061035156
2005-07-15,35.599998474121094
2005-07-16,35.599998474121094
2005-07-22,35.13999938964844
2005-07-23,35.13999938964844
2005-07-29,35.25
2005-07-30,35.25
2005-08-05,34.310001373291016
2005-08-06,34.310001373291016
2005-08-12,34.540000915527344
2005-08-13,34.540000915527344
2005-08-19,33.650001525878906
2005-08-20,33.650001525878906
2005-08-26,34.11000061035156
2005-08-27,34.11000061035156
2005-09-02,34.81999969482422
2005-09-03,34.81999969482422
2005-09-09,34.9900016784668
2005-09-10,34.9900016784668
2005-09-16,34.06999969482422
2005-09-17,34.06999969482422
2005-09-23,33.93000030517578
2005-09-24,33.93000030517578
2005-09-30,33.900001525878906
2005-10-01,33.900001525878906
2005-10-07,34.08000183105469
2005-10-08,34.08000183105469
2005-10-14,35.130001068115234
2005-10-15,35.130001068115234
2005-10-21,36.43999862670898
2005-10-22,36.43999862670898
2005-10-28,37.310001373291016
2005-10-29,37.310001373291016
2005-11-04,38.2599983215332
2005-11-05,38.2599983215332
2005-11-11,38.02999877929688
2005-11-12,38.02999877929688
2005-11-18,38.86000061035156
2005-11-19,38.86000061035156
2005-11-25,38.9900016784668
2005-11-26,38.9900016784668
2005-12-02,39.119998931884766
2005-12-03,39.119998931884766
2005-12-09,39.790000915527344
2005-12-10,39.790000915527344
2005-12-16,40.20000076293945
2005-12-17,40.20000076293945
