,primary_close_this_week
2005-03-11,36.11000061035156
2005-03-12,36.0099983215332
2005-03-18,36.0099983215332
2005-03-19,34.93000030517578
2005-03-25,34.93000030517578
2005-03-26,34.25
2005-04-01,34.25
2005-04-02,34.5
2005-04-08,34.5
2005-04-09,33.93000030517578
2005-04-15,33.93000030517578
2005-04-16,34.869998931884766
2005-04-22,34.869998931884766
2005-04-23,35.4900016784668
2005-04-29,35.4900016784668
2005-04-30,35.61000061035156
2005-05-06,35.61000061035156
2005-05-07,34.459999084472656
2005-05-13,34.459999084472656
2005-05-14,36.060001373291016
2005-05-20,36.060001373291016
2005-05-21,35.79999923706055
2005-05-27,35.79999923706055
2005-05-28,35.54999923706055
2005-06-03,35.54999923706055
2005-06-04,35.43000030517578
2005-06-10,35.43000030517578
2005-06-11,36.08000183105469
2005-06-17,36.08000183105469
2005-06-18,35.56999969482422
2005-06-24,35.56999969482422
2005-06-25,35.060001373291016
2005-07-01,35.060001373291016
2005-07-02,34.810001373291016
2005-07-08,34.810001373291016
2005-07-09,35.86000061035156
2005-07-15,35.86000061035156
2005-07-16,35.599998474121094
2005-07-22,35.599998474121094
2005-07-23,35.13999938964844
2005-07-29,35.13999938964844
2005-07-30,35.25
2005-08-05,35.25
2005-08-06,34.310001373291016
2005-08-12,34.310001373291016
2005-08-13,34.540000915527344
2005-08-19,34.540000915527344
2005-08-20,33.650001525878906
2005-08-26,33.650001525878906
2005-08-27,34.11000061035156
2005-09-02,34.11000061035156
2005-09-03,34.81999969482422
2005-09-09,34.81999969482422
2005-09-10,34.9900016784668
2005-09-16,34.9900016784668
2005-09-17,34.06999969482422
2005-09-23,34.06999969482422
2005-09-24,33.93000030517578
2005-09-30,33.93000030517578
2005-10-01,33.900001525878906
2005-10-07,33.900001525878906
2005-10-08,34.08000183105469
2005-10-14,34.08000183105469
2005-10-15,35.130001068115234
2005-10-21,35.130001068115234
2005-10-22,36.43999862670898
2005-10-28,36.43999862670898
2005-10-29,37.310001373291016
2005-11-04,37.310001373291016
2005-11-05,38.2599983215332
2005-11-11,38.2599983215332
2005-11-12,38.02999877929688
2005-11-18,38.02999877929688
2005-11-19,38.86000061035156
2005-11-25,38.86000061035156
2005-11-26,38.9900016784668
2005-12-02,38.9900016784668
2005-12-03,39.119998931884766
2005-12-09,39.119998931884766
2005-12-10,39.790000915527344
2005-12-16,39.790000915527344
2005-12-17,40.20000076293945
2005-12-23,40.20000076293945
2005-12-24,39.68999862670898
2005-12-30,39.68999862670898
2005-12-31,40.02000045776367
2006-01-06,40.02000045776367
2006-01-07,39.91999816894531
2006-01-13,39.91999816894531
2006-01-14,38.04999923706055
2006-01-20,38.04999923706055
2006-01-21,39.75
2006-01-27,39.75
2006-01-28,39.52999877929688
2006-02-03,39.52999877929688
2006-02-04,39.91999816894531
2006-02-10,39.91999816894531
2006-02-11,40.77999877929688
2006-02-17,40.77999877929688
2006-02-18,41.65999984741211
2006-02-24,41.65999984741211
2006-02-25,41.59000015258789
2006-03-03,41.59000015258789
2006-03-04,41.130001068115234
2006-03-10,41.130001068115234
2006-03-11,41.400001525878906
2006-03-17,41.400001525878906
2006-03-18,42.09999847412109
2006-03-24,42.09999847412109
2006-03-25,41.63999938964844
2006-03-31,41.63999938964844
2006-04-01,41.70000076293945
2006-04-07,41.70000076293945
2006-04-08,42.18999862670898
2006-04-14,42.18999862670898
2006-04-15,42.5
2006-04-21,42.5
2006-04-22,45.380001068115234
2006-04-28,45.380001068115234
2006-04-29,46.650001525878906
2006-05-05,46.650001525878906
2006-05-06,44.31999969482422
2006-05-12,44.31999969482422
2006-05-13,42.75
2006-05-19,42.75
2006-05-20,43.22999954223633
2006-05-26,43.22999954223633
2006-05-27,43.810001373291016
2006-06-02,43.810001373291016
2006-06-03,42.09999847412109
2006-06-09,42.09999847412109
2006-06-10,40.15999984741211
2006-06-16,40.15999984741211
2006-06-17,40.869998931884766
2006-06-23,40.869998931884766
2006-06-24,42.0
2006-06-30,42.0
2006-07-01,42.40999984741211
2006-07-07,42.40999984741211
2006-07-08,40.88999938964844
2006-07-14,40.88999938964844
2006-07-15,43.150001525878906
2006-07-21,43.150001525878906
2006-07-22,45.47999954223633
2006-07-28,45.47999954223633
2006-07-29,45.119998931884766
2006-08-04,45.119998931884766
2006-08-05,43.93000030517578
2006-08-11,43.93000030517578
2006-08-12,45.709999084472656
2006-08-18,45.709999084472656
2006-08-19,45.52000045776367
2006-08-25,45.52000045776367
2006-08-26,45.72999954223633
2006-09-01,45.72999954223633
2006-09-02,45.2599983215332
2006-09-08,45.2599983215332
2006-09-09,46.95000076293945
2006-09-15,46.95000076293945
2006-09-16,46.81999969482422
2006-09-22,46.81999969482422
2006-09-23,46.959999084472656
2006-09-29,46.959999084472656
2006-09-30,46.86000061035156
